Date,SPY,FXE,EWJ,GLD,QQQ,DBA,SHV,GAF,USO,XBI,ILF,FEZ,EPP,Mkt-RF,SMB,HML,RF
2016-01-25,176.05770874023438,106.20999908447266,42.38131713867188,106.08000183105469,99.17064666748048,19.887176513671875,106.712646484375,41.36593627929688,8.539999961853027,54.07490539550781,17.46685791015625,28.740049362182614,29.99909019470215,-1.71,-0.37,-0.98,0.0
2016-01-26,178.45968627929688,106.2699966430664,42.956626892089844,107.29000091552734,100.06310272216795,19.916858673095703,106.712646484375,42.51419067382813,8.970000267028809,53.69778823852539,17.87175178527832,29.36919212341309,30.5090389251709,1.52,0.38,1.22,0.0
2016-01-27,176.5174560546875,106.58999633789062,42.9949836730957,107.69000244140624,97.57003784179688,19.887176513671875,106.712646484375,42.35065460205078,9.18000030517578,51.25653839111328,18.022409439086914,29.132122039794922,30.1309757232666,-1.11,-0.54,1.72,0.0
2016-01-28,177.43701171875,107.05999755859376,43.071685791015625,106.54000091552734,98.94751739501952,19.81791877746582,106.712646484375,43.949119567871094,9.699999809265137,49.33131408691406,18.32372283935547,29.11388969421387,30.55300331115723,0.49,-0.47,1.26,0.0
2016-01-29,181.76243591308597,105.97000122070312,44.10725402832031,106.9499969482422,101.01378631591795,19.77834129333496,106.72230529785156,46.03120803833008,9.649999618530273,50.16492080688477,19.321828842163086,29.47860908508301,31.10691261291504,2.57,0.46,0.37,0.0
2016-02-01,181.69674682617188,106.58999633789062,43.83877182006836,108.0500030517578,101.28540802001952,19.867387771606445,106.7020034790039,45.57478332519531,9.020000457763672,50.5717887878418,19.34066200256348,29.35095405578613,31.045368194580078,-0.04,-0.21,-0.96,0.001
2016-02-02,178.4221954345703,106.79000091552734,43.37852096557617,108.08999633789062,99.0930404663086,19.837705612182614,106.73104095458984,43.84618377685547,8.569999694824219,48.76565933227539,18.370805740356445,28.47562599182129,30.19252014160156,-2.0,-0.03,-0.34,0.001
2016-02-03,179.49180603027344,108.68000030517578,42.8415641784668,109.25,98.61770629882812,19.916858673095703,106.74070739746094,44.79788589477539,9.34000015258789,48.99390029907226,19.152341842651367,28.86770057678223,30.4738712310791,0.46,-0.32,0.44,0.001
2016-02-04,179.77330017089844,109.63999938964844,42.72649765014648,110.56999969482422,98.60800170898438,19.81791877746582,106.74070739746094,45.91341018676758,9.119999885559082,49.99621200561523,19.6325626373291,28.995349884033203,30.8431453704834,0.27,0.2,0.32,0.001
2016-02-05,176.34854125976562,109.08000183105469,41.99777221679688,112.31999969482422,95.1836395263672,19.709081649780273,106.72136688232422,45.9146728515625,8.90999984741211,48.12060928344727,19.190004348754886,28.51210021972656,30.34198570251465,-2.06,-1.1,1.75,0.001
2016-02-08,173.9747314453125,109.4800033569336,41.92106628417969,113.83000183105469,93.72852325439452,19.570566177368164,106.72136688232422,45.70296859741211,8.640000343322754,45.46102523803711,18.75686454772949,27.86471366882324,30.22768974304199,-1.51,-0.02,0.9,0.001
2016-02-09,173.984130859375,110.5,41.115623474121094,113.58000183105469,93.43750762939452,19.501304626464844,106.74070739746094,44.836727142333984,8.180000305175781,45.530494689941406,18.42729949951172,27.59117317199707,29.708948135375977,-0.1,-0.47,-0.29,0.001
2016-02-10,173.83399963378906,110.45999908447266,40.38689804077149,114.45999908447266,93.79642486572266,19.511199951171875,106.73104095458984,45.27373504638672,7.960000038146973,45.69919967651367,18.65328598022461,27.700592041015625,29.761699676513672,0.01,-0.05,-0.56,0.001
2016-02-11,171.57278442382812,110.77999877929688,39.58146667480469,119.05999755859376,93.66061401367188,19.42215156555176,106.74070739746094,44.28318405151367,7.989999771118164,45.38162612915039,18.078907012939453,27.281164169311523,29.66498947143555,-1.17,0.5,-1.47,0.001
